Title,Author,Publisher,Date Read,Rating,My Rating,Category,Pages
"Bad News",Edward St Aubyn,panmacmillan,2017-08-11,7.0,7,literatura obyczajowa | romans,256
"Dom Róży",Hubert Klimko-Dobrzaniecki,Czarne,2017-08-23,7.3,6,literatura piękna,111
"Never Mind",Edward St Aubyn,,2017-08-08,7.0,7,literatura piękna,
"Znaki szczególne",Paulina Wilk,Wydawnictwo Literackie,2017-08-07,6.5,6,literatura piękna,256
"Smutek cinkciarza",Sylwia Chutnik,Od deski do deski,2017-07-29,6.3,7,literatura piękna,224
"Historia zaginionej dziewczynki",Elena Ferrante,Sonia Draga,2017-07-26,7.6,9,literatura piękna,590
"Historia ucieczki",Elena Ferrante,Sonia Draga,2017-07-15,7.5,9,literatura piękna,520
"Sklepy cynamonowe",Bruno Schulz,Wydawnictwo MG,2017-07-11,6.9,2,klasyka,256
"Samotność w sieci",Janusz Leon Wiśniewski,Wielka Litera,2017-07-06,6.8,2,literatura obyczajowa | romans,424
"Fafarułej czyli pastylki z pomarańczy",Jerzy Sosnowski,Wielka Litera,2017-07-05,6.8,7,literatura piękna,496
"At Last",Edward St Aubyn,Picador USA,2017-09-20,7.2,8,literatura piękna,265
"Mother’s Milk",Edward St Aubyn,Picador,2017-09-11,7.2,8,literatura piękna,288
"Syjoniści do Syjamu",Marek Nowakowski,Świat Książki,2017-06-22,7.3,7,powieść historyczna,208
"What's Your Number",Karyn Bosnak,,2017-06-19,5.0,5,literatura obyczajowa | romans,
"Moja wielka miłość",Izabela Stachowicz,W.A.B.,2017-06-08,6.6,7,biografia | autobiografia | pamiętnik,160
"Obrażenia. Pobici z Polską",Małgorzata Rejmer | Ziemowit Szczerek,Wielka Litera,2017-06-06,6.2,8,reportaż,224
"Więcej niż możesz zjeść. Felietony parakulinarne",Dorota Masłowska,Noir sur Blanc,2017-06-05,7.1,6,literatura piękna,132
"Szefowa swojej szafy",Monika Jurczyk,Burda Publishing Polska,2017-06-01,5.5,5,poradniki,200
"Dysforia. Przypadki mieszczan polskich",Marcin Kołodziejczyk,Wielka Litera,2017-05-25,6.1,3,reportaż,288
"Historia nowego nazwiska",Elena Ferrante,Sonia Draga,2017-05-25,7.7,8,literatura piękna,600
"Emilia Plater",Małgorzata Żaryn,DiG,2017-05-23,7.0,7,historia,82
"Szlachcianki w dawnej Polsce. Na salonach i od kuchni",Karolina Stojek-Sawicka,,2017-05-18,4.7,1,powieść historyczna,
"Z nowego wspaniałego świata",Günter Wallraff,Czarne,2017-05-09,6.9,7,reportaż,352
"Genialna przyjaciółka",Elena Ferrante,Sonia Draga,2017-04-26,7.4,7,literatura piękna,480
"Góra Tajget",Anna Dziewit-Meller,Wielka Litera,2017-04-21,7.0,8,literatura piękna,248
"Niezwykła podróż fakira, który utknął w szafie Ikea",Romain Puértolas,Sonia Draga,2017-04-12,6.1,4,literatura piękna,240
"Mickiewicz. Słowo i czyn",Alina Witkowska,Wydawnictwo Naukowe PWN,2017-04-10,6.7,3,językoznawstwo | nauka o literaturze,347
"Ślady",Jakub Małecki,Sine Qua Non,2017-03-29,7.4,7,literatura piękna,304
"Król kebabów i inne zderzenia polsko-obce",Marta Mazuś,Wielka Litera,2017-03-24,6.1,7,reportaż,256
"Kiedyś był tu koniec świata",Florian Klenk,,2017-03-22,6.4,6,reportaż,
"Kosmitka",Manuela Gretkowska,Świat Książki,2017-03-18,6.2,7,biografia | autobiografia | pamiętnik,224
"Zbrodnia hrabiego Neville’a",Amélie Nothomb,Wydawnictwo Literackie,2017-03-13,6.4,6,kryminał | sensacja | thriller,108
"Małe życie",Hanya Yanagihara,W.A.B.,2017-03-12,7.8,6,literatura piękna,816
"Wegetarianka",Han Kang,Kwiaty Orientu,2017-03-06,6.7,6,literatura piękna,167
"Sekretne życie drzew",Peter Wohlleben,Otwarte,2017-03-05,7.2,8,publicystyka literacka | eseje,256
"Syn zarządcy sierocińca",Adam Johnson,Świat Książki,2017-03-04,7.2,10,literatura piękna,560
"8% z niczego",Etgar Keret,W.A.B.,2017-02-28,7.2,8,literatura piękna,162
"Piekło - niebo. Zrozumieć Koreę",Rafał Tomański,Bezdroża,2017-02-26,5.0,2,literatura podróżnicza,232
"Rakiem. Gorąca wojna i populizm mediów",Umberto Eco,W.A.B.,2017-02-25,6.9,6,nauki społeczne (psychologia | socjologia | itd.),416
"No Logo",Naomi Klein,Muza,2017-02-18,7.1,7,reportaż,528
"Daruj sobie. Przewodnik dla tych, którzy nie potrafią przestać",Peg Streep | Alan B. Bernstein,Wydawnictwo Naukowe PWN,2016-12-29,6.4,6,poradniki,244
"Z mgły zrodzony",Brandon Sanderson,Mag,2016-12-09,8.2,6,fantasy | science fiction,672
"Pomnik Cesarzowej Achai - Tom V",Andrzej Ziemiański,Fabryka Słów,2016-11-26,7.6,6,fantasy | science fiction,996
"Sekrety urody Koreanek. Elementarz pielęgnacji",Charlotte Cho,Znak Literanova,2016-10-26,6.8,6,poradniki,224
"Zakonnice odchodzą po cichu",Marta Abramowicz,Krytyka Polityczna,2016-10-21,6.9,7,reportaż,226
"Czasy secondhand. Koniec czerwonego człowieka",Swietłana Aleksijewicz,Czarne,2016-10-20,8.0,9,reportaż,512
"Dorosłe dzieci. Psychologiczna problematyka odwrócenia ról w rodzinie.",Katarzyna Schier,Wydawnictwo Naukowe Scholar,2016-10-18,8.5,9,nauki społeczne (psychologia | socjologia | itd.),328
"Seks na wysokich obcasach",Alicja Długołęcka | Paulina Reiter,Agora,2016-10-14,6.7,9,nauki społeczne (psychologia | socjologia | itd.),272
"Jolanta",Sylwia Chutnik,Znak Literanova,2016-10-05,6.5,7,literatura piękna,288
"Tatuaż z tryzubem",Ziemowit Szczerek,Czarne,2016-10-04,7.3,7,literatura piękna,328
"Pod schodami",Alison Maloney,Bellona,2016-09-29,6.7,7,historia,184
"Fragmenty dyskursu miłosnego",Roland Barthes,Aletheia,2016-09-07,8.2,7,filozofia | etyka,378
"Harry Potter i Komnata Tajemnic",J.K. Rowling,Media Rodzina,2016-09-01,8.3,6,literatura młodzieżowa,368
"My z Jedwabnego",Anna Bikont,Czarne,2016-08-29,7.9,9,reportaż,608
"Harry Potter i Przeklęte Dziecko",J.K. Rowling | Jack Thorne,Media Rodzina,2016-08-08,6.3,3,literatura młodzieżowa,368
"Sąsiedzi. Historia zagłady żydowskiego miasteczka",Jan Tomasz Gross,Pogranicze,2016-08-05,5.9,6,reportaż,162
"Zakazane ciało. Historia męskiej obsesji",Diane Ducret,Znak Horyzont,2016-08-04,6.7,5,reportaż,382
"Kobiety, komunizm i industrializacja w powojennej Polsce",Małgorzata Fidelis,W.A.B.,2016-07-27,7.6,9,historia,448
"Światło, którego nie widać",Anthony Doerr,Czarna Owca,2016-07-24,7.8,8,literatura piękna,640
"CK Monogatari",Artur Laisen,Genius Creations,2016-07-18,6.8,7,fantasy | science fiction,348
"Blogotony",Inga Iwasiów,Wielka Litera,2016-07-15,5.8,5,publicystyka literacka | eseje,344
"Kucając",Andrzej Stasiuk,Czarne,2016-04-04,7.4,6,literatura piękna,128
"Bieguni",Olga Tokarczuk,Wydawnictwo Literackie,2016-04-02,7.1,5,literatura piękna,456
"Wojna nie ma w sobie nic z kobiety",Swietłana Aleksijewicz,Czarne,2016-03-20,8.2,10,reportaż,336
"13 pięter",Filip Springer,Czarne,2016-03-05,7.8,9,reportaż,280
"Pomnik Cesarzowej Achai - Tom IV",Andrzej Ziemiański,Fabryka Słów,2016-02-25,7.6,6,fantasy | science fiction,700
"Rzeczpospolita zwycięska. Alternatywna historia Polski",Ziemowit Szczerek,Znak,2016-02-21,5.8,8,powieść historyczna,280
"Galeria złamanych piór",Feliks W. Kres,Fabryka Słów,2016-02-16,6.9,6,fantasy | science fiction,409
"Memy i graffy. Dżender, kasa i seks",Agnieszka Graff | Marta Frej,Krytyka Polityczna,2016-02-09,6.8,8,publicystyka literacka | eseje,296
"Pomnik Cesarzowej Achai - Tom III",Andrzej Ziemiański,Fabryka Słów,2016-02-08,7.6,7,fantasy | science fiction,800
"God Hates Poland",Michał R. Wiśniewski,Krytyka Polityczna,2016-02-05,6.3,8,literatura piękna,276
"Podkrzywdzie",Andrzej Muszyński,Wydawnictwo Literackie,2016-02-04,5.7,2,literatura piękna,192
"Wiadomość",Tove Jansson,Marginesy,2016-02-03,7.0,7,literatura piękna,320
"Dygot",Jakub Małecki,Sine Qua Non,2016-01-02,7.8,9,literatura piękna,320
"Dziady",Paweł Goźliński,Czarne,2015-12-30,6.4,8,literatura piękna,455
"Angole",Ewa Winnicka,Czarne,2015-12-29,6.8,5,reportaż,304
"Dary niedoskonałości. Jak przestać się przejmować tym, kim powinniśmy być, i zaakceptować to, kim jesteśmy",Brené Brown,Media Rodzina,2015-12-28,6.6,4,nauki społeczne (psychologia | socjologia | itd.),168
"Szatańskie wersety",Salman Rushdie,Rebis,2015-12-27,7.0,7,literatura piękna,664
"Pomnik Cesarzowej Achai - Tom II",Andrzej Ziemiański,Fabryka Słów,2015-12-20,7.5,6,fantasy | science fiction,700
"9 Wigilii",Jerzy Pilch | Paweł Huelle,Świat Książki,2015-12-13,5.8,6,literatura piękna,224
"Pani Bovary",Gustave Flaubert,Sic!,2015-12-09,6.9,6,klasyka,419
"Middlesex",Jeffrey Eugenides,Sonia Draga,2015-11-28,7.9,8,literatura piękna,608
"Mężczyzna z blizną",Sarah Mallory,Harlequin,2015-11-26,6.4,4,literatura obyczajowa | romans,272
"Eleonora i Park",Rainbow Rowell,Otwarte,2015-11-24,7.3,5,literatura młodzieżowa,340
"Wielki Marsz",Richard Bachman,Prószyński i S-ka,2015-11-18,7.6,7,kryminał | sensacja | thriller,264
"Wschód, zachód",Salman Rushdie,Rebis,2015-11-13,6.0,9,literatura piękna,172
"Furia",Salman Rushdie,Rebis,,6.6,,literatura piękna,288
"Lot nad kukułczym gniazdem",Ken Kesey,Albatros,2015-11-12,8.2,10,literatura piękna,368
"Dzieci z Bullerbyn",Astrid Lindgren,Nasza Księgarnia,2015-11-10,7.5,9,literatura dziecięca,352
"Korzeniec",Zbigniew Białas,Wydawnictwo MG,,7.0,,literatura piękna,416
"Szum",Magdalena Tulli,Znak Literanova,2015-10-30,6.8,7,literatura piękna,208
"Na dnie nieba",Manuela Gretkowska,Świat Książki,2015-10-28,5.9,7,publicystyka literacka | eseje,224
"Persepolis: Historia dzieciństwa",Marjane Satrapi,Post,2015-10-28,8.1,9,komiksy,158
"Uległość",Michel Houellebecq,W.A.B.,2015-10-27,6.7,3,literatura piękna,352
"Hawaikum. W poszukiwaniu istoty piękna",Józef Tischner | Dariusz Czaja,,2015-10-10,6.6,6,popularnonaukowa,272
"Nad Niemnem",Eliza Orzeszkowa,Greg,2015-10-04,6.0,7,klasyka,400
"Słońce jeszcze nie wzeszło. Tsunami. Fukushima",Piotr Bernardyn,Bezdroża,2015-10-04,7.3,9,reportaż,200
"Uprawa roślin południowych metodą Miczurina",Weronika Murek,Czarne,2015-10-02,6.0,5,literatura piękna,144
"Metro 2033",Dmitry Glukhovsky,Insignis,2015-09-29,7.8,6,fantasy | science fiction,613
"Pomnik Cesarzowej Achai - Tom I",Andrzej Ziemiański,Fabryka Słów,2015-09-19,7.3,7,fantasy | science fiction,688
"Białe zęby",Zadie Smith,Znak,2015-09-17,6.9,8,literatura piękna,528
"Historia brudu",Katherine Ashenburg,Bellona,2015-09-10,6.6,6,historia,264
"Ku słońcu",Inga Iwasiów,Świat Książki,2015-09-06,5.9,7,literatura piękna,352
"Milczenie owiec",Thomas Harris,Albatros,2015-08-05,8.0,6,kryminał | sensacja | thriller,432
"Czerwony smok",Thomas Harris,Albatros,2015-08-03,7.6,6,kryminał | sensacja | thriller,448
"Made in Japan",Rafał Tomański,Helion,2015-07-31,5.5,5,reportaż,192
"Tequila",Krzysztof Varga,Czarne,2015-07-30,6.3,5,literatura piękna,124
"Gnój",Wojciech Kuczok,W.A.B.,2015-07-25,6.8,8,literatura piękna,216
"Dzidzia",Sylwia Chutnik,Świat Książki,2015-07-15,5.7,7,literatura piękna,174
"Balladyny i romanse",Ignacy Karpowicz,Wydawnictwo Literackie,2015-07-15,6.9,2,literatura piękna,526
"Silikon",Manuela Gretkowska,W.A.B.,2015-07-12,5.9,8,literatura piękna,188
"The Fellowship Of The Ring",J.R.R. Tolkien,HarperCollins,2015-07-04,8.4,9,fantasy | science fiction,407
"Sońka",Ignacy Karpowicz,Wydawnictwo Literackie,2015-05-16,7.7,9,literatura piękna,208
"Guguły",Wioletta Grzegorzewska,Czarne,2015-06-20,7.1,9,literatura piękna,120
"Nasza klasa. Historia w XIV lekcjach",Tadeusz Słobodzianek,słowo/obraz terytoria,2015-06-21,7.5,9,utwór dramatyczny (dramat | komedia | tragedia),108
"Polka",Manuela Gretkowska,W.A.B.,2015-06-16,6.4,9,literatura piękna,346
"Fan fiction. Nowe formy opowieści",Lidia Gąsowska,Korporacja Ha!art,2015-06-13,6.2,5,językoznawstwo | nauka o literaturze,328
"Na brzegu rzeki",Czesław Miłosz,,2015-06-11,7.2,6,poezja,
"The Hobbit",J.R.R. Tolkien,HarperCollins,2015-05-25,7.8,7,fantasy | science fiction,320
"Heban",Ryszard Kapuściński,Agora,2015-05-12,7.9,8,reportaż,261
"Kłamca 3. Ochłap sztandaru",Jakub Ćwiek,Fabryka Słów,2015-05-03,6.9,5,fantasy | science fiction,272
"Kłamca 2. Bóg marnotrawny",Jakub Ćwiek,Fabryka Słów,2015-05-02,7.3,6,fantasy | science fiction,296
"Kłamca",Jakub Ćwiek,Fabryka Słów,2015-04-29,7.1,6,fantasy | science fiction,272
"Niesamowita Słowiańszczyzna. Fantazmaty literatury",Maria Janion,Wydawnictwo Literackie,2015-04-28,7.4,5,językoznawstwo | nauka o literaturze,353
"Siódemka",Ziemowit Szczerek,Korporacja Ha!art,2015-04-18,6.7,9,literatura piękna,256
"Małe lisy",Justyna Bargielska,Czarne,2015-04-16,5.8,7,literatura piękna,112
"Silmarillion",J.R.R. Tolkien,Amber,2015-04-14,8.0,8,fantasy | science fiction,408
"Rekin z parku Yoyogi",Joanna Bator,W.A.B.,2015-04-02,6.2,4,literatura piękna,240
"Kobiety i Władza",Magdalena Środa,W.A.B.,2015-04-01,6.9,6,nauki społeczne (psychologia | socjologia | itd.),467
"Zabić drozda",Harper Lee,Rebis,2015-03-31,8.1,9,literatura piękna,420
"Północ i Południe",Elizabeth Gaskell,Świat Książki,2015-03-27,7.6,8,klasyka,576
"Patchwork",Marta Haba,Novae Res,2015-06-16,6.3,6,literatura piękna,86
"Analfabetka, która potrafiła liczyć",Jonas Jonasson,W.A.B.,2015-03-22,7.1,8,literatura piękna,416
"Beasts",John Crowley,Victor Gollancz,2015-03-19,7.0,7,fantasy | science fiction,184
"Złodziejka",Sarah Waters,Prószyński i S-ka,2015-03-09,7.4,7,literatura piękna,560
"Achaja - Tom III",Andrzej Ziemiański,Fabryka Słów,2015-03-09,6.7,6,fantasy | science fiction,409
"Delikatność",David Foenkinos,Znak,2015-02-24,6.8,8,literatura piękna,208
"Achaja - Tom II",Andrzej Ziemiański,Fabryka Słów,2015-02-24,7.1,7,fantasy | science fiction,644
"Achaja - Tom I",Andrzej Ziemiański,Fabryka Słów,2015-02-13,6.9,8,fantasy | science fiction,688
"Solaris",Stanisław Lem,Wydawnictwo Literackie,2015-02-05,7.9,7,fantasy | science fiction,340
"Wodnikowe Wzgórze",Richard Adams,Muza,2015-02-02,8.0,7,fantasy | science fiction,576
"Porwanie Jane E.",Jasper Fforde,Znak,2015-01-03,7.0,8,fantasy | science fiction,468
"Świat Rocannona",Ursula K. Le Guin,Amber,2014-12-28,6.6,7,fantasy | science fiction,142
"Kobieta i mężczyźni",Manuela Gretkowska,Świat Książki,,5.7,8,literatura piękna,272
"Trans",Manuela Gretkowska,Świat Książki,2014-12-21,5.4,7,literatura piękna,288
"Trudno być bogiem. Drugi najazd Marsjan",Arkadij Strugacki | Borys Strugacki,Czytelnik,2014-12-19,7.0,8,fantasy | science fiction,270
"Ciało niczyje",Krystyna Kofta,Polska Oficyna Wydawnicza BGW,2014-09-18,6.9,7,literatura piękna,240
"Wieczny Grunwald",Szczepan Twardoch,Wydawnictwo Literackie,2014-09-21,6.5,,literatura piękna,212
"My, naród",Tomasz Lis,Świat Książki,2014-07-13,5.5,,nauki społeczne (psychologia | socjologia | itd.),255
"Kręci mnie Mads Mikkelsen",Hedda H. Robertsen,W.A.B.,2014-07-06,5.1,,literatura piękna,176
"The Fourth Bear",Jasper Fforde,,2014-06-16,7.0,7,kryminał | sensacja | thriller,
"Cinder",Marissa Meyer,Egmont Polska,2014-06-13,7.8,6,fantasy | science fiction,440
"Słoneczko",Maria Buyno-Arctowa,POLWEN,,7.4,8,literatura dziecięca,153
"Cat's Cradle",Kurt Vonnegut,Bantam Books,,7.5,6,literatura piękna,304
"Zimowe zjawy",Kate Mosse,Prószyński i S-ka,2014-05-10,5.7,6,literatura piękna,239
"Przyjdzie Mordor i nas zje, czyli tajna historia Słowian",Ziemowit Szczerek,Korporacja Ha!art,2014-05-09,7.2,7,literatura piękna,220
"Pornografia",Witold Gombrowicz,Wydawnictwo Literackie,2014-04-29,7.7,7,literatura piękna,224
"Ferdydurke",Witold Gombrowicz,Wydawnictwo Literackie,,6.8,,klasyka,296
"Folwark zwierzęcy",George Orwell,Muza,2013-08-13,8.1,8,satyra,136
"Strażnik parku",Błażej Dzikowski,Świat Książki,2013-08-07,6.1,6,literatura piękna,320
"Historia pewnego życia",Guy de Maupassant,Zrzeszenie Księgarstwa,2013-08-04,7.0,7,literatura piękna,199
"Bierki",Marcin Szczygielski,Instytut Wydawniczy Latarnik,2013-08-01,6.9,6,literatura piękna,364
"Obsoletki",Justyna Bargielska,Czarne,,6.2,,literatura piękna,90
"Shades of Grey",Jasper Fforde,Hodder & Stoughton,2013-07-17,6.7,8,fantasy | science fiction,432
"Agent",Manuela Gretkowska,Świat Książki,2013-07-08,5.8,,literatura piękna,224
"Klub Radości i Szczęścia",Amy Tan,Prószyński i S-ka,2013-06-09,7.1,6,literatura piękna,304
"1Q84 - t. 3",Haruki Murakami,Muza,2013-05-17,7.3,3,literatura piękna,512
"Zapasy z życiem",Éric-Emmanuel Schmitt,Znak,2013-05-17,6.7,6,literatura piękna,74
"Dom schadzek",Martin Amis,Czytelnik,2012-10-24,5.8,7,literatura piękna,234
"Krótka historia czasu",Stephen Hawking,Zysk i S-ka,2012-10-13,7.6,6,astronomia | astrofizyka,177
"Obywatelka",Manuela Gretkowska,Świat Książki,2012-10-12,6.2,8,literatura obyczajowa | romans,320
"Kod Leonarda da Vinci",Dan Brown,Albatros,,7.1,,kryminał | sensacja | thriller,568
"Anioły i demony",Dan Brown,Albatros, Sonia Draga,,7.3,,kryminał | sensacja | thriller,560
"W czerwieni",Magdalena Tulli,W.A.B.,2012-08-07,6.0,5,literatura piękna,158
"Lustrzane odbicie",Audrey Niffenegger,Mag,2012-07-25,7.5,7,literatura piękna,532
"Opowieść rozbitka",Gabriel García Márquez,Muza,2012-07-09,6.8,7,literatura piękna,115
"Podręcznik do ludzi",Manuela Gretkowska,W.A.B.,2012-07-09,5.6,6,literatura piękna,173
"Krótka historia Iwony Tramp",Krystyna Kofta,W.A.B.,2012-07-08,4.5,3,literatura piękna,222
"Dziennik Jaskółki",Amélie Nothomb,Muza,2012-06-09,5.9,6,literatura piękna,80
"Wynurzenie",Margaret Atwood,Zysk i S-ka,2012-06-03,6.1,6,literatura piękna,197
"Dwanaście opowiadań tułaczych",Gabriel García Márquez,Muza,2012-05-17,7.1,7,literatura piękna,192
"Van Gogh. Życie i twórczość",Dieter Beaujean,Konemann,2012-05-07,6.3,4,sztuka,96
"Samotność Bogów",Dorota Terakowska,Wydawnictwo Literackie,2012-05-02,7.0,6,literatura piękna,260
"Tarot paryski",Manuela Gretkowska,W.A.B.,2012-04-28,5.7,7,literatura piękna,168
"Heart and Soul",Maeve Binchy,Orion,2012-04-15,6.7,6,literatura obyczajowa | romans,464
"Kiedy byliśmy sierotami",Kazuo Ishiguro,Prószyński i S-ka,,6.2,3,literatura piękna,327
"Szczęściarz",Nicholas Sparks,Albatros,2012-04-04,7.4,5,literatura piękna,408
"Straszydła na co dzień",Karel Michal,Oficyna Wydawnicza ATUT,2012-01-15,7.7,7,literatura piękna,161
"Betonowy ogród",Ian McEwan,Znak,2012-01-11,6.4,7,literatura piękna,200
"Władca much",William Golding,Mediasat Poland,2011-12-09,7.5,8,literatura piękna,180
"Kwas siarkowy",Amélie Nothomb,Muza,2011-11-25,6.6,9,kryminał | sensacja | thriller,144
"Parade's End",Ford Madox Ford,BBC Books,2012-09-06,6.5,9,literatura piękna,912
"Kochanek lady Chatterley",David Herbert Lawrence,Świat Książki,2011-11-24,5.9,8,literatura obyczajowa | romans,302
"Mnisi-czarnoksiężnicy, czyli niesamowite historie o dziwnych ludziach",Pu Songling,Wydawnictwo Iskry,,6.3,6,literatura piękna,220
"Lis już wtedy był myśliwym",Herta Müller,Czarne,2011-11-16,7.0,9,literatura piękna,256
"Kabaret metafizyczny",Manuela Gretkowska,W.A.B.,2011-11-12,5.6,9,literatura piękna,120
"1Q84 - t. 2",Haruki Murakami,Muza,2011-09-29,7.5,9,literatura piękna,416
"Duma, uprzedzenie i gra pozorów",Melissa Nathan,Albatros,2011-09-12,6.3,7,literatura piękna,368
"Języki i kolczyki",Hitomi Kanehara,Albatros,2011-09-11,4.9,5,literatura piękna,104
"North and South",Elizabeth Gaskell,Penguin Books,2011-09-10,7.6,9,klasyka,462
"Dzieci z Bullerbyn",Astrid Lindgren,Nasza Księgarnia,,7.6,,literatura dziecięca,280
"Ania z Zielonego Wzgórza",Lucy Maud Montgomery,Wydawnictwo Literackie,,7.6,7,literatura dziecięca,408
"1Q84 - t. 1",Haruki Murakami,Muza,2011-09-02,7.5,9,literatura piękna,480
"Salt Fish Girl",Larissa Lai,,2011-08-26,8.5,9,literatura piękna,
"When Fox is a Thousand",Larissa Lai,Arsenal Pulp Press,2011-08-17,5.0,5,literatura piękna,272
"Dziewczyna o szklanych stopach",Ali Shaw,Amber,,6.0,,literatura piękna,296
"Prowadź swój pług przez kości umarłych",Olga Tokarczuk,Wydawnictwo Literackie,2011-08-11,7.2,7,literatura piękna,318
"Wieczory cyrkowe",Angela Carter,Czytelnik,,7.1,5,fantasy | science fiction,307
"Zmory",Emil Zegadłowicz,Ossolineum,,6.9,5,literatura piękna,490
"Kroki",Mariusz Maślanka,Świat Książki,2011-07-30,5.6,7,literatura piękna,158
"W blasku księżyca",Lian Hearn,W.A.B.,2011-06-29,7.3,7,literatura piękna,435
"This Place Called Absence",Lydia Kwa,,2011-08-18,5.0,5,literatura piękna,
"Strzała czasu albo natura występku",Martin Amis,Muza,2011-06-05,7.3,9,literatura piękna,169
"Namiętność",Jeanette Winterson,Rebis,2011-06-03,6.7,7,literatura piękna,189
"Pokuta",Ian McEwan,Albatros,2011-05-30,7.1,5,literatura piękna,398
"Fight Club. Podziemny krąg",Chuck Palahniuk,Niebieska Studnia,2011-05-23,7.9,7,literatura piękna,235
"Światłość w sierpniu",William Faulkner,Czytelnik,2011-05-03,7.4,5,literatura piękna,660
"Na posłaniu z trawy",Lian Hearn,W.A.B.,2011-04-26,7.2,9,literatura piękna,372
"Po słowiczej podłodze",Lian Hearn,W.A.B.,2011-04-20,7.2,9,literatura piękna,368
"Beatrycze i Wergili",Yann Martel,Albatros,2011-04-15,6.6,9,literatura piękna,240
"Obca",Diana Gabaldon,Świat Książki,,7.6,9,literatura obyczajowa | romans,712
"Róża dla Emilii",William Faulkner,Książka i Wiedza,,7.0,,literatura piękna,74
"Prawiek i inne czasy",Olga Tokarczuk,Wydawnictwo Literackie,2011-04-01,7.7,9,literatura piękna,304
"Kosmetyka wroga",Amélie Nothomb,Muza,2011-03-28,6.9,5,literatura piękna,101
"Kochanica Francuza",John Fowles,Rebis,2011-03-07,7.0,9,literatura piękna,358
"Jutro będzie lepiej",Mariusz Maślanka,Wydawnictwo Literackie,2011-02-24,6.8,7,literatura piękna,161
"Siostra Carrie t.1",Theodore Dreiser,Wydawnictwo Poznańskie,2011-02-21,6.4,1,klasyka,230
"My zdies' emigranty",Manuela Gretkowska,W.A.B.,2011-02-17,5.6,5,literatura piękna,144
"Bajerom wbrew",Anna Ziętara,Prószyński i S-ka,2011-02-16,5.7,3,literatura piękna,392
"Czekając na Godota",Samuel Beckett,Państwowy Instytut Wydawniczy,,7.5,,literatura piękna,117
"Dwa domki na kółkach",Marina Lewycka,Albatros,2011-02-13,7.5,5,literatura piękna,365
"Świat szeroko zamknięty",Izabela Sowa,Bliskie,2011-04-06,6.0,3,literatura piękna,256
"Ptasiek",William Wharton,Rebis,,7.3,5,literatura piękna,317
"Cząstki elementarne",Michel Houellebecq,W.A.B.,,7.1,,literatura piękna,363
"Lolita",Vladimir Nabokov,Muza,,7.3,,literatura piękna,416
"Skok Safony",Erica Jong,Świat Książki,,6.4,,biografia | autobiografia | pamiętnik,416
"Niegrzeczni bogowie",Marie Phillips,Świat Książki,,6.1,7,literatura piękna,304
"Musimy porozmawiać o Kevinie",Lionel Shriver,Videograf II,,8.0,9,kryminał | sensacja | thriller,424
"Granica",Zofia Nałkowska,Zielona Sowa,,5.9,,klasyka,231
"Potop",Henryk Sienkiewicz,Greg,,7.1,,powieść historyczna,934
"Paulina w orbicie kotów",Marta Fox,Akapit Press,,6.1,,literatura młodzieżowa,248
"Paulina.doc",Marta Fox,Siedmioróg,,6.2,,literatura młodzieżowa,166
"Magda.doc",Marta Fox,Siedmioróg,,6.3,,literatura młodzieżowa,216
"Batoniki Always miękkie jak deszczówka",Marta Fox,Siedmioróg,,5.5,,literatura młodzieżowa,85
"Coraz mniej milczenia. O dramatach dzieciństwa bez tabu",Marta Fox,Siedmioróg,,6.7,,reportaż,215
"Ostatnie życzenie",Andrzej Sapkowski,,,8.4,,fantasy | science fiction,286
"Narrenturm",Andrzej Sapkowski,Niezależna Oficyna Wydawnicza NOWA,,7.7,,fantasy | science fiction,593
"Boży bojownicy",Andrzej Sapkowski,Niezależna Oficyna Wydawnicza NOWA,,7.7,,fantasy | science fiction,587
"Krew elfów",Andrzej Sapkowski,superNOWA,,8.2,,fantasy | science fiction,296
"Pani Jeziora",Andrzej Sapkowski,Niezależna Oficyna Wydawnicza NOWA,,8.2,,fantasy | science fiction,520
"Chrzest ognia",Andrzej Sapkowski,,,8.3,,fantasy | science fiction,333
"Daj mi!",Irina Dienieżkina,Świat Książki,,5.1,,literatura obyczajowa | romans,174
"Czas pogardy",Andrzej Sapkowski,,,8.2,,fantasy | science fiction,320
"Dwie wieże",J.R.R. Tolkien,Zysk i S-ka,,8.4,,fantasy | science fiction,501
"Powrót Króla",J.R.R. Tolkien,Amber,,8.6,,fantasy | science fiction,397
"Drużyna Pierścienia",J.R.R. Tolkien,Amber,,8.4,,fantasy | science fiction,384
"Hobbit, czyli tam i z powrotem",J.R.R. Tolkien,Wydawnictwo Iskry,,7.8,,fantasy | science fiction,315
"Harry Potter i Insygnia Śmierci",J.K. Rowling,Media Rodzina,,8.4,,fantasy | science fiction,782
"Harry Potter i Książę Półkrwi",J.K. Rowling,Media Rodzina,,8.4,,fantasy | science fiction,704
"Harry Potter i Zakon Feniksa",J.K. Rowling,Media Rodzina,,8.3,,fantasy | science fiction,959
"Harry Potter i Czara Ognia",J.K. Rowling,Media Rodzina,,8.3,,fantasy | science fiction,768
"Harry Potter i Komnata Tajemnic",J.K. Rowling,Media Rodzina,,8.0,,fantasy | science fiction,368
"Harry Potter i więzień Azkabanu",J.K. Rowling,Media Rodzina,,8.3,,fantasy | science fiction,460
